prob,mu,temp,social,Run,max IN degree,avg clustering coeff
0.46875,0.10281249999999999,0.2728125,0.28125,75,0.0,49
0.46875,0.10281249999999999,0.25468749999999996,0.21875,76,0.0,55
0.15625,0.8453125,0.2728125,0.21875,77,0.2870857449633832,59
0.96875,0.5978125,0.1096875,0.78125,78,0.20739838011100079,94
0.65625,0.5978125,0.1096875,0.78125,79,0.19457409077133053,64
0.96875,0.3503125,0.1096875,0.78125,80,0.17919292046583318,95
0.96875,0.5978125,0.1278125,0.78125,81,0.21113614936051872,97
0.96875,0.5978125,0.1096875,0.71875,82,0.20867442683189752,98
0.65625,0.3503125,0.1278125,0.71875,83,0.16305877437979924,59
0.71875,0.3503125,0.1821875,0.03125,84,0.21261377337810242,71
0.90625,0.3503125,0.1821875,0.03125,85,0.22704339013312944,91
0.71875,0.10281249999999999,0.1821875,0.03125,86,0.10037382779198638,69
0.71875,0.3503125,0.2003125,0.03125,87,0.22248648060609966,81
0.71875,0.3503125,0.1821875,0.96875,88,0.1674379739144895,71
0.90625,0.10281249999999999,0.2003125,0.96875,89,0.0,94
0.21875,0.8453125,0.0371875,0.53125,90,0.20600562373907863,42
0.40625,0.8453125,0.0371875,0.53125,91,0.2007059981494313,31
0.21875,0.5978125,0.0371875,0.53125,92,0.195781969939098,32
0.21875,0.8453125,0.0553125,0.53125,93,0.20660949838718795,30
0.21875,0.8453125,0.0371875,0.46875,94,0.19950838123685993,33
0.40625,0.5978125,0.0553125,0.46875,95,0.1941562626924491,40
0.09375,0.4740625,0.1459375,0.65625,96,0.18488586903934176,30
0.28125,0.4740625,0.1459375,0.65625,97,0.1815606369092965,27
0.09375,0.9690625,0.1459375,0.65625,98,0.20509986174778405,41
0.09375,0.4740625,0.1640625,0.65625,99,0.18250052837348948,32
0.09375,0.4740625,0.1459375,0.84375,100,0.18763184209800227,33
0.28125,0.9690625,0.1640625,0.84375,101,0.19560808773375837,33
0.59375,0.9690625,0.2909375,0.15625,102,0.2803455842332475,62
0.78125,0.9690625,0.2909375,0.15625,103,0.3070573976511289,75
0.59375,0.4740625,0.2909375,0.15625,104,0.29984128233910473,57
0.59375,0.9690625,0.0190625,0.15625,105,0.3064289411487078,72
0.59375,0.9690625,0.2909375,0.34375,106,0.21064600779771614,57
0.78125,0.4740625,0.0190625,0.34375,107,0.19312171687201282,73
0.84375,0.2265625,0.07343749999999999,0.90625,108,0.17424460123667906,86
0.53125,0.2265625,0.07343749999999999,0.90625,109,0.14126131696483665,51
0.84375,0.2265625,0.07343749999999999,0.90625,110,0.17413102405819722,86
0.84375,0.2265625,0.23656249999999998,0.90625,111,0.15912008990735094,87
0.84375,0.2265625,0.07343749999999999,0.09375,112,0.22030368461090585,86
0.53125,0.2265625,0.23656249999999998,0.09375,113,0.18756504315401867,52
0.34375,0.7215625,0.2184375,0.40625,114,0.20252542172500848,35
0.03125,0.7215625,0.2184375,0.40625,115,0.19678660828723227,33
0.34375,0.7215625,0.2184375,0.40625,116,0.20528810922216492,42
