avg utility,avg IN degrees,avg OUT degrees,avg clustering coeff
0.9999999999999999,40.336,40.336,0.20239636246547374
1.0,40.44,40.44,0.20369045747992603
0.9999999999999997,40.496,40.496,0.2041418862548052
1.0,40.552,40.552,0.20475404986768114
1.0000000000000004,40.648,40.648,0.2059333224199583
0.9999999999999999,40.74,40.74,0.2071474653598946
1.0000000000000007,40.808,40.808,0.20777688771241404
1.0,40.76,40.76,0.2077760569565844
1.0000000000000007,40.832,40.832,0.20874823711025622
0.9999999999999999,40.924,40.924,0.20974682881816997
1.0,41.004,41.004,0.21035434320326515
1.0000000000000002,41.044,41.044,0.21097216289011456
0.9999999999999994,41.1,41.1,0.2119427919338644
1.0000000000000004,41.168,41.168,0.21263344301212592
0.9999999999999999,41.272,41.272,0.21369419561391817
1.0000000000000004,41.284,41.284,0.21381995422271807
