prob,mu,temp,social,Run,max IN degree,avg clustering coeff
0.943359375,0.44119140625000003,0.13404296875,0.2412109375,63,70,0.25128054440744163
0.943359375,0.44119140625000003,0.04341796875,0.2099609375,64,69,0.27656041871814896
0.591796875,0.54947265625,0.13404296875,0.2099609375,65,54,0.2549672721214303
0.443359375,0.93619140625,0.18841796875,0.4912109375,66,34,0.22761522082516605
0.091796875,0.93619140625,0.18841796875,0.4912109375,67,45,0.2561735462676644
0.443359375,0.05447265625,0.18841796875,0.4912109375,68,40,0.234779104951261
0.443359375,0.93619140625,0.27904296875,0.4912109375,69,38,0.23053464071901777
0.443359375,0.93619140625,0.18841796875,0.4599609375,70,38,0.23370517705921467
0.091796875,0.05447265625,0.27904296875,0.4599609375,71,39,0.2422026119494614
0.318359375,0.31744140625,0.29716796875,0.4287109375,72,44,0.2289416269940552
0.216796875,0.31744140625,0.29716796875,0.4287109375,73,51,0.2348611236769738
0.318359375,0.42572265625,0.29716796875,0.4287109375,74,47,0.24100892651053235
0.318359375,0.31744140625,0.09779296874999999,0.4287109375,75,49,0.24191975325609344
0.318359375,0.31744140625,0.29716796875,0.1474609375,76,57,0.28268999363706415
0.216796875,0.42572265625,0.09779296874999999,0.1474609375,77,49,0.2616916469182585
0.818359375,0.81244140625,0.15216796875,0.1787109375,78,62,0.254738052465119
0.716796875,0.81244140625,0.15216796875,0.1787109375,79,61,0.25696479031244185
0.818359375,0.92072265625,0.15216796875,0.1787109375,80,57,0.2647309382140034
0.818359375,0.81244140625,0.24279296875,0.1787109375,81,57,0.25913252509836887
0.818359375,0.81244140625,0.15216796875,0.3974609375,82,58,0.23838843029097873
0.716796875,0.92072265625,0.24279296875,0.3974609375,83,49,0.2506877702116946
0.568359375,0.06994140625,0.22466796875,0.3037109375,84,51,0.2463723634080713
0.966796875,0.06994140625,0.22466796875,0.3037109375,85,72,0.24311454557043252
0.568359375,0.67322265625,0.22466796875,0.3037109375,86,61,0.2505147124480069
0.568359375,0.06994140625,0.02529296875,0.3037109375,87,49,0.23621015504270876
0.568359375,0.06994140625,0.22466796875,0.2724609375,88,40,0.252997810533694
0.966796875,0.67322265625,0.02529296875,0.2724609375,89,74,0.256289557892903
0.068359375,0.56494140625,0.07966796874999998,0.0537109375,90,31,0.26699544479122894
0.466796875,0.56494140625,0.07966796874999998,0.0537109375,91,38,0.27687482749174114
0.068359375,0.17822265625,0.07966796874999998,0.0537109375,92,41,0.2996517425917457
0.068359375,0.56494140625,0.17029296875,0.0537109375,93,35,0.27538498851620036
0.068359375,0.56494140625,0.07966796874999998,0.0224609375,94,34,0.2943462087309051
0.466796875,0.17822265625,0.17029296875,0.0224609375,95,33,0.27682239989828344
0.099609375,0.03900390625,0.25185546875,0.4443359375,96,39,0.23003348277507324
0.560546875,0.03900390625,0.25185546875,0.4443359375,97,45,0.2313531152557835
0.099609375,0.88978515625,0.25185546875,0.4443359375,98,45,0.23427632067609902
0.099609375,0.03900390625,0.25185546875,0.4443359375,99,39,0.23947182822073917
0.099609375,0.03900390625,0.25185546875,0.2568359375,100,44,0.25926634165108864
0.560546875,0.88978515625,0.25185546875,0.2568359375,101,50,0.2514291116075018
0.599609375,0.53400390625,0.10685546874999999,0.1943359375,102,57,0.26718283708683127
0.060546875,0.53400390625,0.10685546874999999,0.1943359375,103,46,0.24558153258839133
0.599609375,0.39478515625,0.10685546874999999,0.1943359375,104,56,0.2515285755417851
0.599609375,0.53400390625,0.10685546874999999,0.1943359375,105,57,0.2515907355643707
0.599609375,0.53400390625,0.10685546874999999,0.0068359375,106,48,0.30526405206073737
0.060546875,0.39478515625,0.10685546874999999,0.0068359375,107,32,0.2838906638934196
0.849609375,0.28650390625,0.17935546875,0.3193359375,108,57,0.2421187195483989
0.310546875,0.28650390625,0.17935546875,0.3193359375,109,52,0.24029386751671258
0.849609375,0.14728515625000002,0.17935546875,0.3193359375,110,62,0.2449251905801546
0.849609375,0.28650390625,0.17935546875,0.3193359375,111,62,0.23680106361974945
